TransactionID,AccountID,DeviceID,IPAddress,MerchantID,TransactionDate,Kategori_Produk,Jumlah_Nominal,Durasi_Sesi
TX090,ACC22,DEV17,192.168.1.34,MCH13,2026-03-31,Kuliner,2278694.0,155.0
TX091,ACC29,DEV05,192.168.1.21,MCH02,2026-04-01,Transportasi,330062.0,163.0
TX092,ACC18,DEV17,192.168.1.30,MCH12,2026-04-02,Elektronik,1637162.0,119.0
TX093,ACC26,DEV17,192.168.1.33,MCH10,2026-04-03,Elektronik,1575284.0,4.0
TX094,ACC12,DEV17,192.168.1.28,MCH14,2026-04-04,Transportasi,891651.0,124.0
TX095,ACC02,DEV02,192.168.1.47,MCH03,2026-04-05,Kuliner,1135205.0,51.0
TX096,ACC10,DEV02,192.168.1.33,MCH01,2026-04-06,Fashion,780195.0,13.0
TX097,ACC04,DEV05,192.168.1.5,MCH08,2026-04-07,Fashion,2412312.0,55.0
TX098,ACC14,DEV01,192.168.1.48,MCH03,2026-04-08,Elektronik,1893599.0,134.0
TX099,ACC16,DEV01,192.168.1.19,MCH12,2026-04-09,Kuliner,238920.0,58.0
TX100,ACC15,DEV19,192.168.1.4,MCH10,2026-04-10,Fashion,1450541.0,146.0
TX101,ACC08,DEV02,192.168.1.35,MCH07,2026-04-11,Kuliner,1534433.0,113.0
TX102,ACC14,DEV12,192.168.1.49,MCH10,2026-04-12,Kuliner,1896403.0,48.0
TX103,ACC23,DEV06,192.168.1.17,MCH05,2026-04-13,Elektronik,1578068.0,152.0
TX104,ACC28,DEV04,192.168.1.44,MCH10,2026-04-14,Fashion,678983.0,86.0
TX105,ACC25,DEV11,192.168.1.28,MCH05,2026-04-15,Transportasi,1489492.0,143.0
TX106,ACC08,DEV17,192.168.1.30,MCH14,2026-04-16,Elektronik,846052.0,67.0
TX107,ACC21,DEV06,192.168.1.29,MCH07,2026-04-17,Fashion,1832150.0,76.0
TX108,ACC16,DEV05,192.168.1.46,MCH09,2026-04-18,Fashion,2250300.0,104.0
TX109,ACC13,DEV02,192.168.1.6,MCH12,2026-04-19,Fashion,1880567.0,167.0
TX110,ACC18,DEV06,192.168.1.35,MCH05,2026-04-20,Fashion,1559837.0,39.0
TX111,ACC15,DEV11,192.168.1.41,MCH01,2026-04-21,Fashion,756899.0,51.0
TX112,ACC21,DEV16,192.168.1.37,MCH10,2026-04-22,Kuliner,2406028.0,99.0
TX113,ACC24,DEV16,192.168.1.24,MCH10,2026-04-23,Elektronik,284747.0,83.0
TX114,ACC26,DEV01,192.168.1.29,MCH01,2026-04-24,Kuliner,640650.0,31.0
TX115,ACC25,DEV09,192.168.1.49,MCH02,2026-04-25,Transportasi,448570.0,80.0
TX116,ACC28,DEV06,192.168.1.46,MCH14,2026-04-26,Fashion,2398139.0,92.0
TX117,ACC28,DEV16,192.168.1.31,MCH06,2026-04-27,Elektronik,1052512.0,53.0
TX118,ACC28,DEV03,192.168.1.35,MCH09,2026-04-28,Fashion,883158.0,167.0
TX119,ACC13,DEV04,192.168.1.33,MCH08,2026-04-29,Elektronik,2139792.0,80.0
TX120,ACC09,DEV19,192.168.1.21,MCH13,2026-04-30,Kuliner,77528.0,31.0
TX011,ACC19,DEV17,192.168.1.18,MCH14,2026-01-11,Kuliner,2025991.0,75.0
TX026,ACC06,DEV16,192.168.1.49,MCH06,2026-01-26,Fashion,434995.0,102.0
TX071,ACC15,DEV09,192.168.1.48,MCH12,2026-03-12,Kuliner,2279656.0,24.0
